n,R,T,x,y,z,potential_per_GM,ax_per_GM,ay_per_GM,az_per_GM
6,1.0,0.05,0.1,0.0,0.0,-1.7931163946785253,-0.26406593828771335,0.1695279485083291,-2.858440292139462e-18
6,1.0,0.05,1.0,0.0,0.0,-1.0902073440641797,-0.7586804421739369,-0.1185213399464136,-1.042015052956547e-18
6,1.0,0.05,1.0,0.0,1.0,-0.6989691829092066,-0.30798567091722967,-0.009268929096601092,-0.36311923018356257
6,1.0,0.05,0.0,1.0,1.0,-0.6897616093445312,-0.0033535186044032672,-0.31149358897096846,-0.34056398105155283
6,1.0,0.05,3.0,0.0,0.0,-0.3367149738463104,-0.11452760532530126,-0.000615187403307116,4.6748401340854906e-21
6,1.0,0.1,0.1,0.0,0.0,-1.7409602109728588,-0.37955909791975523,0.12241866436162846,-8.436506739252908e-18
6,1.0,0.1,1.0,0.0,0.0,-1.1036260133915403,-0.9546990701702264,0.01742581173000649,-2.8994273631967936e-18
6,1.0,0.1,1.0,0.0,1.0,-0.6993830452080506,-0.3044618514541035,0.0009602233011308007,-0.37238145501970726
6,1.0,0.1,0.0,1.0,1.0,-0.6882062528316532,0.00028189887907366894,-0.30483517818627875,-0.3434634103347801
6,1.0,0.1,3.0,0.0,0.0,-0.33706401925595697,-0.11489685659625992,0.00019323433931384005,1.0638627991463055e-20
6,1.0,0.25,0.1,0.0,0.0,-1.7187439236371,-0.42567870117717455,0.1356746933605499,-2.4553797313131635e-18
6,1.0,0.25,1.0,0.0,0.0,-1.0716416222283747,-0.9781790257896286,-0.00943272616672441,-9.442304555659886e-19
6,1.0,0.25,1.0,0.0,1.0,-0.6958418239586377,-0.30209478107895343,0.0005089547424910887,-0.36343013394892054
6,1.0,0.25,0.0,1.0,1.0,-0.6905558844052846,-0.0005262895748656284,-0.30389910368513595,-0.35020384468073656
6,1.0,0.25,3.0,0.0,0.0,-0.33638276736961953,-0.11418831750571044,2.302187641131288e-05,-5.041639208249513e-21
6,3.0,0.05,0.1,0.0,0.0,-0.6577901750016928,-0.03579482815152839,0.0044087468962937144,3.211075841681945e-18
6,3.0,0.05,1.0,0.0,0.0,-0.5427148039210312,-0.10180946011673431,-0.12489428534336998,-1.846605524135673e-20
6,3.0,0.05,1.0,0.0,1.0,-0.46128726571443496,-0.0654892112257951,-0.022462296250858875,-0.10409851790984591
6,3.0,0.05,0.0,1.0,1.0,-0.46295453323984426,-0.00929984288341207,-0.060679411969271235,-0.10218680566037952
6,3.0,0.05,3.0,0.0,0.0,-0.35473441730141764,-0.021118805699270764,-0.009514374630270576,-3.9630324684186274e-19
6,3.0,0.1,0.1,0.0,0.0,-0.634136890314131,-0.024866344962321943,-0.009703081731162678,2.644365876553576e-19
6,3.0,0.1,1.0,0.0,0.0,-0.5335055170329547,-0.12624741451242477,-0.047649751475315076,-4.745705575236449e-19
6,3.0,0.1,1.0,0.0,1.0,-0.45778812131676694,-0.06608720701046475,-0.004988726549940479,-0.09940198971485009
6,3.0,0.1,0.0,1.0,1.0,-0.4687634603495442,0.009145473723675778,-0.04700879711466545,-0.10053513642373511
6,3.0,0.1,3.0,0.0,0.0,-0.3462538501044963,-0.05751348631538733,0.011057441627725534,1.7864806920737947e-19
6,3.0,0.25,0.1,0.0,0.0,-0.6097786432843263,-0.031941752629320024,0.018230827768967853,1.2794878004254234e-19
6,3.0,0.25,1.0,0.0,0.0,-0.5194497626115461,-0.11185744750809332,-0.04259691479758535,4.2303676360378767e-19
6,3.0,0.25,1.0,0.0,1.0,-0.45766468822880185,-0.06441960158696088,-0.007302469844248039,-0.08300935594197578
6,3.0,0.25,0.0,1.0,1.0,-0.4643003889495564,-0.011433589843589605,-0.05914436490861922,-0.06959009909749651
6,3.0,0.25,3.0,0.0,0.0,-0.3500949078948591,-0.08336283178925002,-0.005593427171277815,7.732727028315033e-22
8,1.0,0.05,0.1,0.0,0.0,-1.7794556427217816,-0.3325241314173324,-0.18534748508680712,3.593341669226741e-18
8,1.0,0.05,1.0,0.0,0.0,-1.1088187956396518,-0.9241833622290333,-0.04404654411518146,-2.1336194994151508e-19
8,1.0,0.05,1.0,0.0,1.0,-0.6990256403432141,-0.30823042923096544,-0.009318414383109132,-0.3630181422102591
8,1.0,0.05,0.0,1.0,1.0,-0.6898453332702724,-0.0034188080884935135,-0.31234195951547855,-0.34052068103857064
